Folder	File	Sheet	Row	Column	Value	Annotation	header1
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	0	0	sample information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	0	replicate number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	1	"nm id code (e.g. nm-300, jrcnm01001a, …)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	2	nm chemistry (core)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	3	cas number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	4	vial number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	5	nm supplier	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	6	"material state  (liquid or fluid, fluid dispersion, powder)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	7	use of dispersant: yes/no  (e.g. for ag nps nm-300k or nm-302)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	8	dispersant reference (indicate here the reference number of the vial used)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	9	sample name (internal reference)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	10	reporting organisation	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	11	operator	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	12	date of preparation	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	13	date of analysis	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	14	"module (e.g. phys-chem, in vitro tox, in vivo tox, eco tox, …)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	15	"endpoint (oecd list, and others)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	16	"assay name (conventional name of the assay, e.g. comet, …)"	endpoint_assay	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	0	17	method and instrument information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	17	size distribution	header1	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	17	"dispersion protocol  (ex: nanogenotox, enpra, prospect, other)"	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	18	"size distribution (ex: monomodal, bimodal or multimodal?)"	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	3	18	bimodal	INVALID	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	6	18	multimodal	INVALID	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	19	"size distribution analyse technique  (ex: dls, cls, etc…)"	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	3	19	cls	INVALID	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	6	19	cls	INVALID	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	20	cls particle refraction index	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	21	cls particle absorption	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	22	cls particle non-sphericity	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	23	cls injected volume (µl)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	24	"dispersion medium  (ex: water + 0.05% bsa stock solution, culture medium, etc…)"	size distribution	medium
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	25	concentration  (mg/ml)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	26	incubation time (h)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	27	mean hydrodynamic diameter (nm) in weight (w) or numer (n)*	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	28	associated uncertainty (sd)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	29	peak 1  - main peak (nm)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	30	peak 1  weight (w) or number (n)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	31	peak 2 - main peak (nm)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	32	peak 2 weight (w) or number (n)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	33	peak 3 - main peak (nm)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	34	peak 3 weight (w) or number (n)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	35	pdi	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	2	36	associated uncertainty (sd)	size distribution	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	37	in vitro barrier model	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	38	cell type	method and instrument information	cell
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	39	passage number	method and instrument information	cell
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	40	cell colture medium composition	method and instrument information	cell
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	41	insert	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	42	number of cells/insert	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	43	volume of medium in apical compartment (ml)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	44	volume of medium in basolateral compartment (ml)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	45	days of differentiation	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	46	integrity control quality: mean teer values (ohms/cm²) - before starting nps exposure	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	47	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	48	maximum teer value (ohms/cm²)  before starting nps exposure	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	49	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	50	minimum teer value (ohms/cm²)  before starting nps exposure	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	51	associated uncertainty (sd)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	52	incubation time with nps (h)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	53	incubation time with ly (h)	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	54	apical ly concentration	method and instrument information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	0	55	results	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	55	"total number of replicates per condition  (control, nps concentration 1, concentration 2, etc…)"	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	56	nps tested concentrations  (µg/ml)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	57	corresponding dose/surface unit  (µg/cm2)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	58	mean % of basolateral lucyfer yellow (ly) through intestinal epithelium	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	59	associated uncertainty (sd)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	60	mean ly papp through intestinal epithelium  (cm/s)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	61	associated uncertainty (sd)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	62	mean % of basolateral ly through cell free inserts	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	63	associated uncertainty (sd)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	64	mean ly papp through cell free inserts (cm/s)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	65	associated uncertainty (sd)	results	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	0	66	sop	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	barrier integrity - LY	1	66	references to sops	sop	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	0	0	sample information	header0	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	0	replicate number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	1	"nm id code (e.g. nm-300, jrcnm01001a, …)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	2	nm chemistry (core)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	3	cas number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	4	vial number	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	5	nm supplier	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	6	"material state  (liquid or fluid, fluid dispersion, powder)"	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	7	use of dispersant: yes/no  (e.g. for ag nps nm-300k or nm-302)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	8	dispersant reference (indicate here the reference number of the vial used)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	9	sample name (internal reference)	sample information	
JRCTEMPLATES	INVITRO_BARRIERCROSSING.xlsx	NP crossing ICP-OES	1	10	reporting organisation	sample information	
